rank,keyword,count,candidate_count,candidate_rate
1,AI,549,54,0.931
2,예산,434,54,0.931
3,교육청,340,53,0.9138
4,교사,336,54,0.931
5,안전,258,53,0.9138
6,디지털,187,44,0.7586
7,돌봄,182,44,0.7586
8,환경,177,50,0.8621
9,기초학력,139,45,0.7759
10,교원,135,41,0.7069
11,상담,120,41,0.7069
12,시설,120,44,0.7586
13,교권,111,33,0.569
14,회복,98,42,0.7241
15,인성,86,25,0.431
16,정서,83,35,0.6034
17,생태,82,34,0.5862
18,예술,81,29,0.5
19,급식,77,28,0.4828
20,통학,75,30,0.5172
21,스마트,71,29,0.5
22,체육,71,34,0.5862
23,교육복지,70,28,0.4828
24,연수,68,30,0.5172
25,심리,66,31,0.5345
26,방과후,65,34,0.5862
27,학교폭력,60,25,0.431
28,독서,60,31,0.5345
29,책임교육,54,28,0.4828
30,교권보호,53,28,0.4828
31,다문화,53,25,0.431
32,소통,52,22,0.3793
33,특수교육,48,26,0.4483
34,마음건강,47,23,0.3966
35,맞춤형교육,42,25,0.431
36,문해력,38,23,0.3966
37,진로진학,38,23,0.3966
38,대입,35,19,0.3276
39,온라인,31,22,0.3793
40,학교시설,31,20,0.3448
41,고교학점제,29,15,0.2586
42,위기학생,28,19,0.3276
43,작은학교,26,13,0.2241
44,민주시민,24,10,0.1724
45,청렴,21,11,0.1897
46,늘봄,19,12,0.2069
47,유아교육,18,11,0.1897
48,업무경감,18,14,0.2414
49,과밀학급,16,9,0.1552
50,수리력,15,10,0.1724
51,농산어촌,15,5,0.0862
52,에듀테크,13,10,0.1724
53,피해학생,12,7,0.1207
54,수업혁신,12,8,0.1379
55,유보통합,9,8,0.1379
56,학습진단,8,6,0.1034
57,늘봄학교,7,6,0.1034
58,급식실,7,6,0.1034
59,화장실,7,4,0.069
60,수업권,6,4,0.069
61,학생자치,6,5,0.0862
62,학력진단,5,4,0.069
63,개별화교육,3,3,0.0517
64,코딩,3,3,0.0517
65,무상급식,3,3,0.0517
66,소프트웨어,1,1,0.0172
67,아동학대,1,1,0.0172
68,석면,1,1,0.0172
